url,status,title,canonical,h1,final_url
https://www.brandops.site/,200,"BrandOps | AI Consultancy for Content, Visibility &amp; Lead Generation",https://www.brandops.site,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-7xl"">Put AI to work for your<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-c",https://www.brandops.site/
https://www.brandops.site/features,200,BrandOps Features | LinkedIn + Newsletters | BrandOps,https://www.brandops.site/features,"<h1 class=""text-3xl font-bold tracking-tight text-foreground sm:text-4xl"">Everything you need to stay visible</h1>",https://www.brandops.site/features
https://www.brandops.site/features/carousel-workflow,200,AI Carousel Generator | Research to Slides | BrandOps,https://www.brandops.site/features/carousel-workflow,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl"">Turn one research topic into a LinkedIn<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary ",https://www.brandops.site/features/carousel-workflow
https://www.brandops.site/features/newsletter-workflow,200,AI Newsletter Generator | Cited Research to Inbox | BrandOps,https://www.brandops.site/features/newsletter-workflow,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl"">Write cited newsletters from current<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-",https://www.brandops.site/features/newsletter-workflow
https://www.brandops.site/features/review-first-publishing,200,Review-First Publishing | Approve LinkedIn Posts | BrandOps,https://www.brandops.site/features/review-first-publishing,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl"">You own the publish<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-clip-text text-tr",https://www.brandops.site/features/review-first-publishing
https://www.brandops.site/linkedin-carousel-generator,200,Free LinkedIn Carousel Generator | AI Slides | BrandOps,https://www.brandops.site/linkedin-carousel-generator,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">AI LinkedIn Carousel Generator<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-prima",https://www.brandops.site/linkedin-carousel-generator
https://www.brandops.site/ai-newsletter-generator,200,AI Newsletter Generator | Cited Drafts to Inbox | BrandOps,https://www.brandops.site/ai-newsletter-generator,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">AI Newsletter Generator<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-c",https://www.brandops.site/ai-newsletter-generator
https://www.brandops.site/linkedin-automation-tool,200,LinkedIn Automation Tool | Founders + Trainers | BrandOps,https://www.brandops.site/linkedin-automation-tool,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">LinkedIn Automation Tool<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-",https://www.brandops.site/linkedin-automation-tool
https://www.brandops.site/linkedin-automation-tool-for-coaches,200,LinkedIn Automation Tool for Coaches | AI Content Workflow | BrandOps,https://www.brandops.site/linkedin-automation-tool-for-coaches,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">LinkedIn Automation Tool<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-",https://www.brandops.site/linkedin-automation-tool-for-coaches
https://www.brandops.site/linkedin-automation-tool-for-consultants,200,LinkedIn Automation Tool for Consultants | AI Content Workflow | BrandOps,https://www.brandops.site/linkedin-automation-tool-for-consultants,"<h1 class=""text-balance text-4xl font-bold tracking-tight text-foreground sm:text-5xl lg:text-6xl"">LinkedIn Automation Tool<!-- --> <span class=""bg-gradient-to-r from-primary via-accent to-primary bg-",https://www.brandops.site/linkedin-automation-tool-for-consultants
